Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
14,Indian Institute of Technology Indore,2023,10.88,29.99,17.79,17.23,25.55,26.3,5,4.04,27.17,15,20.37,9.84,19.96,13.81,5.76,20,24.73
,,,,,,,,,,,,,,,,,,,
15,Indian Institute of Technology (Banaras Hindu University) Varanasi,2023,16.8,17.7,12.35,14.27,23.48,27.98,6,2.56,35.44,15,20.27,11.51,16.77,10.22,9.17,20,53.31
,,,,,,,,,,,,,,,,,,,
16,National Institute of Technology Rourkela,2023,17.5,25.7,17.05,13.71,25.91,27.98,6,1.81,30.41,15,14.52,11.61,15.95,14.41,8.69,20,18.85
,,,,,,,,,,,,,,,,,,,
17,Indian Institute of Technology (Indian School of Mines) Dhanbad,2023,15,21.48,14.7,15.19,26.91,30.33,4,2.35,31.15,12.64,17.91,11.22,19.16,10.32,7.76,20,30.85
,,,,,,,,,,,,,,,,,,,
18,Indian Institute of Technology Gandhinagar,2023,10,30,19.48,23.32,18.05,16.61,2,6.19,29.68,14.57,16.71,7.91,21.18,20.24,4.71,20,35.84
,,,,,,,,,,,,,,,,,,,
19,Amrita Vishwa Vidyapeetham,2023,18,30,18.21,10.22,23.06,21.55,8,1.94,34.36,15,10.21,2.28,17.66,21.95,5.44,20,33.77
,,,,,,,,,,,,,,,,,,,
20,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2023,17.16,26.57,15.41,11.81,21.75,30.02,9,0.69,31.32,15,15,9.28,17.31,24.97,0.79,20,10.79
,,,,,,,,,,,,,,,,,,,
21,National Institute of Technology Warangal,2023,16.5,24.79,16.34,14.95,20.81,21.81,7,1.23,32.81,15,17.42,9.18,15.94,16.52,4.73,20,34.99
,,,,,,,,,,,,,,,,,,,
22,Indian Institute of Technology Ropar,2023,11.05,28.28,18.13,19.81,17.96,18.73,4,3.84,31.57,15,18.96,5.54,22.29,14.74,7.91,20,32.7
,,,,,,,,,,,,,,,,,,,
23,National Institute of Technology Calicut,2023,16,27.3,17.41,13.33,17.11,17.44,5,1.27,37.17,15,16.24,10.21,15.32,22.89,9.76,20,33.06
,,,,,,,,,,,,,,,,,,,
24,Institute of Chemical Technology,2023,10.82,26.74,18.02,17.36,17.54,19.84,14,4.93,30.76,15,13.54,9.7,7.65,24.91,1.1,20,17.57
,,,,,,,,,,,,,,,,,,,
25,Birla Institute of Technology and Science Pilani,2023,18.84,20.2,13.36,11.77,21.38,26.68,4,0.81,36.98,15,19.66,6.76,19.93,14.43,0.02,20,32.88
,,,,,,,,,,,,,,,,,,,
26,Jamia Millia Islamia,2023,10.5,26.85,14.78,9.77,26.86,26.71,3,3.03,37.84,15,13.02,7.35,22.91,11.78,9.16,20,18.34
,,,,,,,,,,,,,,,,,,,
27,Siksha `O` Anusandhan,2023,17.36,30,15.42,13.74,16.01,19.12,8,1,32.61,15,9.54,8.31,20.88,30,1.3,20,24.07
,,,,,,,,,,,,,,,,,,,
28,S.R.M. Institute of Science and Technology,2023,17.55,23.15,13.16,9.93,24.14,29.73,6,0.31,32.83,14.81,9.54,7.82,18.31,22.49,0.8,20,22.01
